+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                      URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY) | SUM(BODY)  | AVG(BODY) |
+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
|     1 |   0 |   0 |   0 |   1 |   0 | POST   | /api/organizer/competition/9fa53d9b/score     | 12.764 | 12.764 |  12.764 | 12.764 | 12.764 | 12.764 | 12.764 |  0.000 |     0.000 |     0.000 |      0.000 |     0.000 |
|    11 |   0 |   0 |   0 |  11 |   0 | GET    | /api/player/competition/9fa53d9b/ranking      | 12.652 | 12.748 | 139.744 | 12.704 | 12.748 | 12.748 | 12.748 |  0.032 |     0.000 |     0.000 |      0.000 |     0.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | GET    | /api/player/player/9fa52d7e                   | 12.680 | 12.680 |  12.680 | 12.680 | 12.680 | 12.680 | 12.680 |  0.000 |     0.000 |     0.000 |      0.000 |     0.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | GET    | /api/player/player/9fa53503                   | 12.656 | 12.656 |  12.656 | 12.656 | 12.656 | 12.656 | 12.656 |  0.000 |     0.000 |     0.000 |      0.000 |     0.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | GET    | /api/player/player/9fa53519                   | 12.508 | 12.508 |  12.508 | 12.508 | 12.508 | 12.508 | 12.508 |  0.000 |     0.000 |     0.000 |      0.000 |     0.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52c69                   | 12.448 | 12.448 |  12.448 | 12.448 | 12.448 | 12.448 | 12.448 |  0.000 |   356.000 |   356.000 |    356.000 |   356.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa53520/score     | 12.376 | 12.376 |  12.376 | 12.376 | 12.376 | 12.376 | 12.376 |  0.000 |    54.000 |    54.000 |     54.000 |    54.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | GET    | /api/player/player/9fa52c4e                   | 12.096 | 12.096 |  12.096 | 12.096 | 12.096 | 12.096 | 12.096 |  0.000 |     0.000 |     0.000 |      0.000 |     0.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | GET    | /api/player/player/9fa52d7c                   | 11.884 | 11.884 |  11.884 | 11.884 | 11.884 | 11.884 | 11.884 |  0.000 |     0.000 |     0.000 |      0.000 |     0.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/500ed7b4a                  | 11.828 | 11.828 |  11.828 | 11.828 | 11.828 | 11.828 | 11.828 |  0.000 |   686.000 |   686.000 |    686.000 |   686.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/c7a79a5a                   | 11.756 | 11.756 |  11.756 | 11.756 | 11.756 | 11.756 | 11.756 |  0.000 |   898.000 |   898.000 |    898.000 |   898.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/362c59def                  | 11.592 | 11.592 |  11.592 | 11.592 | 11.592 | 11.592 | 11.592 |  0.000 |   914.000 |   914.000 |    914.000 |   914.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | GET    | /api/player/player/9fa53308                   | 11.460 | 11.460 |  11.460 | 11.460 | 11.460 | 11.460 | 11.460 |  0.000 |     0.000 |     0.000 |      0.000 |     0.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | GET    | /api/player/player/13d9014f5                  | 11.384 | 11.384 |  11.384 | 11.384 | 11.384 | 11.384 | 11.384 |  0.000 |     0.000 |     0.000 |      0.000 |     0.000 |
|    11 |   0 |   9 |   0 |   2 |   0 | GET    | /api/admin/tenants/billing                    |  3.676 | 21.676 | 116.076 | 10.552 | 16.324 | 21.676 | 21.676 |  5.382 |     0.000 |  1576.000 |  13614.000 |  1237.636 |
