+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+-------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                      URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)  | AVG(BODY) |
+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+-------------+-----------+
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/39e9bea14                  | 16.264 | 16.264 |  16.264 | 16.264 | 16.264 | 16.264 | 16.264 |  0.000 |  1471.000 |   1471.000 |    1471.000 |  1471.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52f19                   | 16.252 | 16.252 |  16.252 | 16.252 | 16.252 | 16.252 | 16.252 |  0.000 |   375.000 |    375.000 |     375.000 |   375.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52e36                   | 16.200 | 16.200 |  16.200 | 16.200 | 16.200 | 16.200 | 16.200 |  0.000 |   359.000 |    359.000 |     359.000 |   359.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52fef                   | 15.512 | 15.512 |  15.512 | 15.512 | 15.512 | 15.512 | 15.512 |  0.000 |   375.000 |    375.000 |     375.000 |   375.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/3ce4d8a46                  | 15.440 | 15.440 |  15.440 | 15.440 | 15.440 | 15.440 | 15.440 |  0.000 |  1373.000 |   1373.000 |    1373.000 |  1373.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/23d5d9e14                  | 15.416 | 15.416 |  15.416 | 15.416 | 15.416 | 15.416 | 15.416 |  0.000 |  1382.000 |   1382.000 |    1382.000 |  1382.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa5393a/score     | 15.156 | 15.156 |  15.156 | 15.156 | 15.156 | 15.156 | 15.156 |  0.000 |    54.000 |     54.000 |      54.000 |    54.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/competition/1bb54bcd1/ranking     | 10.856 | 10.856 |  10.856 | 10.856 | 10.856 | 10.856 | 10.856 |  0.000 | 14702.000 |  14702.000 |   14702.000 | 14702.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/214417a6d                  | 10.748 | 10.748 |  10.748 | 10.748 | 10.748 | 10.748 | 10.748 |  0.000 |  1275.000 |   1275.000 |    1275.000 |  1275.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa53056/score     | 10.528 | 10.528 |  10.528 | 10.528 | 10.528 | 10.528 | 10.528 |  0.000 |    54.000 |     54.000 |      54.000 |    54.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/17c427f5e                  | 10.204 | 10.204 |  10.204 | 10.204 | 10.204 | 10.204 | 10.204 |  0.000 |  1275.000 |   1275.000 |    1275.000 |  1275.000 |
|    18 |   0 |  18 |   0 |   0 |   0 | GET    | /api/player/competition/9fa5393a/ranking      |  0.276 | 16.364 | 181.624 | 10.090 | 16.244 | 16.364 | 16.364 |  7.033 | 13831.000 |  13837.000 |  248980.000 | 13832.222 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa5278b/score     |  8.768 |  8.768 |   8.768 |  8.768 |  8.768 |  8.768 |  8.768 |  0.000 |    54.000 |     54.000 |      54.000 |    54.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/584abd479                  |  0.640 | 16.112 |  16.752 |  8.376 | 16.112 | 16.112 | 16.112 |  7.736 |   972.000 |    972.000 |    1944.000 |   972.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52938                   |  8.300 |  8.300 |   8.300 |  8.300 |  8.300 |  8.300 |  8.300 |  0.000 |   335.000 |    335.000 |     335.000 |   335.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa52f20/score     |  8.272 |  8.272 |   8.272 |  8.272 |  8.272 |  8.272 |  8.272 |  0.000 |    54.000 |     54.000 |      54.000 |    54.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/1e4235ccf                  |  0.180 | 16.268 |  16.448 |  8.224 | 16.268 | 16.268 | 16.268 |  8.044 |  1166.000 |   1362.000 |    2528.000 |  1264.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/619486ac0                  |  0.812 | 15.464 |  16.276 |  8.138 | 15.464 | 15.464 | 15.464 |  7.326 |   758.000 |    758.000 |    1516.000 |   758.000 |
|    10 |   0 |  10 |   0 |   0 |   0 | GET    | /api/player/competition/9fa54099/ranking      |  7.928 |  8.036 |  79.628 |  7.963 |  7.976 |  8.036 |  8.036 |  0.029 | 13508.000 |  13508.000 |  135080.000 | 13508.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa54099/score     |  7.932 |  7.932 |   7.932 |  7.932 |  7.932 |  7.932 |  7.932 |  0.000 |    54.000 |     54.000 |      54.000 |    54.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa529a3                   |  7.832 |  7.832 |   7.832 |  7.832 |  7.832 |  7.832 |  7.832 |  0.000 |   744.000 |    744.000 |     744.000 |   744.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52795                   |  7.620 |  7.620 |   7.620 |  7.620 |  7.620 |  7.620 |  7.620 |  0.000 |   745.000 |    745.000 |     745.000 |   745.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52bd9                   |  7.616 |  7.616 |   7.616 |  7.616 |  7.616 |  7.616 |  7.616 |  0.000 |   760.000 |    760.000 |     760.000 |   760.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa5295a                   |  7.192 |  7.192 |   7.192 |  7.192 |  7.192 |  7.192 |  7.192 |  0.000 |   744.000 |    744.000 |     744.000 |   744.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a3f                   |  7.168 |  7.168 |   7.168 |  7.168 |  7.168 |  7.168 |  7.168 |  0.000 |   760.000 |    760.000 |     760.000 |   760.000 |
